var,cat1,cat2
V936,cat_1,cat_3
V937,cat_1,cat_3
V938,cat_1,cat_3
V939,cat_1,cat_3
V940,cat_1,cat_3
V941,cat_1,cat_3
V942,cat_1,cat_3
V943,cat_1,cat_3
V944,cat_1,cat_3
V945,cat_1,cat_3
V946,cat_1,cat_3
V947,cat_1,cat_3
V948,cat_1,cat_3
V949,cat_1,cat_3
V950,cat_1,cat_3
V951,cat_1,cat_3
V952,cat_1,cat_3
V953,cat_1,cat_3
V954,cat_1,cat_3
V955,cat_1,cat_3
V956,cat_1,cat_3
V957,cat_1,cat_3
V958,cat_1,cat_3
V959,cat_1,cat_3
V960,cat_1,cat_3
V961,cat_1,cat_3
V962,cat_1,cat_3
V963,cat_1,cat_3
V964,cat_1,cat_3
V965,cat_1,cat_3
V966,cat_1,cat_3
V967,cat_1,cat_3
V968,cat_1,cat_3
V969,cat_1,cat_3
V970,cat_1,cat_3
V971,cat_1,cat_3
V972,cat_1,cat_3
V973,cat_1,cat_3
V974,cat_1,cat_3
V975,cat_1,cat_3
V976,cat_1,cat_3
V977,cat_1,cat_3
V978,cat_1,cat_3
V979,cat_1,cat_3
V980,cat_1,cat_3
V981,cat_1,cat_3
V982,cat_1,cat_3
V983,cat_1,cat_3
V984,cat_1,cat_3
V985,cat_1,cat_3
V986,cat_1,cat_3
V987,cat_1,cat_3
V988,cat_1,cat_3
V989,cat_1,cat_3
V990,cat_1,cat_3
V991,cat_1,cat_3
V992,cat_1,cat_3
V993,cat_1,cat_3
V994,cat_1,cat_3
V995,cat_1,cat_3
V996,cat_1,cat_3
V997,cat_1,cat_3
V998,cat_1,cat_3
V999,cat_1,cat_3
V1000,cat_1,cat_3
V1001,cat_1,cat_3
V1002,cat_1,cat_3
V1003,cat_1,cat_3
V1004,cat_1,cat_3
V1005,cat_1,cat_3
V1006,cat_1,cat_3
V1007,cat_1,cat_3
V1008,cat_1,cat_3
V1009,cat_1,cat_3
V1010,cat_1,cat_3
V1011,cat_1,cat_3
V1012,cat_1,cat_3
V1013,cat_1,cat_3
V1014,cat_1,cat_3
V1015,cat_1,cat_3
V1016,cat_1,cat_3
V1017,cat_1,cat_3
V1018,cat_1,cat_3
V1019,cat_1,cat_3
V1020,cat_1,cat_3
V1021,cat_1,cat_3
V1022,cat_1,cat_3
V1023,cat_1,cat_3
V1024,cat_1,cat_3
V1025,cat_1,cat_3
V1026,cat_1,cat_3
V1027,cat_1,cat_3
V1028,cat_1,cat_3
V1029,cat_1,cat_3
V1030,cat_1,cat_3
V1031,cat_1,cat_3
V1032,cat_1,cat_3
V1033,cat_1,cat_3
V1034,cat_1,cat_3
V1035,cat_1,cat_3
V1036,cat_1,cat_3
V1037,cat_1,cat_3
V1038,cat_1,cat_3
V1039,cat_1,cat_3
V1040,cat_1,cat_3
V1041,cat_1,cat_3
V1042,cat_1,cat_3
V1043,cat_1,cat_3
V1044,cat_1,cat_3
V1045,cat_1,cat_3
V1046,cat_1,cat_3
V1047,cat_1,cat_3
V1048,cat_1,cat_3
V1049,cat_1,cat_3
V1050,cat_1,cat_3
V1051,cat_1,cat_3
V1052,cat_1,cat_3
V1053,cat_1,cat_3
V1054,cat_1,cat_3
V1055,cat_1,cat_3
V1056,cat_1,cat_3
V1057,cat_1,cat_3
V1058,cat_1,cat_3
V1059,cat_1,cat_3
V1060,cat_1,cat_3
V1061,cat_1,cat_3
V1062,cat_1,cat_3
V1063,cat_1,cat_3
V1064,cat_1,cat_3
V1065,cat_1,cat_3
V1066,cat_1,cat_3
V1067,cat_1,cat_3
